Depth ice/snow [m],Age model [ka],δD [‰ SMOW],delta T [°C],Sample ID
2737.9,408.292,-385.5,1.99,4979
2738.45,408.483,-386.8,1.77,4980
2739,408.669,-386.4,1.83,4981
2739.55,408.849,-384.7,2.09,4982
2740.1,409.028,-383.9,2.21,4983
2740.65,409.217,-386.8,1.73,4984
2741.2,409.402,-384.3,2.13,4985
2741.75,409.588,-386.2,1.8,4986
2742.3,409.781,-386.6,1.73,4987
2742.85,409.98,-387.5,1.57,4988
2743.4,410.174,-387.4,1.58,4989
2743.95,410.374,-386.5,1.72,4990
2744.5,410.577,-387.9,1.47,4991
2745.05,410.778,-386.4,1.72,4992
2745.6,410.986,-387.8,1.47,4993
2746.15,411.194,-388.4,1.37,4994
2746.7,411.402,-386.7,1.64,4995
2747.25,411.605,-390.8,0.95,4996
2747.8,411.817,-392.1,0.72,4997
2748.35,412.046,-393.8,0.44,4998
2748.9,412.277,-393.4,0.49,4999
2749.45,412.507,-393.7,0.43,5000
2750,412.739,-395.8,0.08,5001
2750.55,412.977,-392.2,0.66,5002
2751.1,413.198,-393.3,0.48,5003
2751.65,413.432,-394.7,0.23,5004
2752.2,413.669,-391.9,0.68,5005
2752.75,413.902,-392.5,0.57,5006
2753.3,414.139,-396.4,-0.08,5007
2753.85,414.392,-394.3,0.26,5008
2754.4,414.639,-393.2,0.43,5009
2754.95,414.882,-394.7,0.17,5010
2755.5,415.132,-394.9,0.12,5011
2756.05,415.384,-391.9,0.61,5012
2756.6,415.626,-393.6,0.31,5013
2757.15,415.875,-393.5,0.31,5014
2757.7,416.125,-394.7,0.1,5015
2758.25,416.38,-391.4,0.63,5016
2758.8,416.624,-393.1,0.33,5017
2759.35,416.874,-390.9,0.67,5018
2759.9,417.118,-389.8,0.83,5019
2760.45,417.358,-392.4,0.38,5020
2761,417.608,-392.6,0.32,5021
2761.55,417.86,-390.7,0.61,5022
2762.1,418.106,-393.8,0.08,5023
2762.65,418.364,-394.1,0.01,5024
2763.2,418.624,-395.7,-0.28,5025
2763.75,418.889,-395.8,-0.32,5026
2764.3,419.133,-395.2,-0.24,5027
2764.85,419.398,-395.7,-0.35,5028
2765.4,419.666,-394,-0.09,5029
2765.95,419.929,-397.1,-0.62,5030
2766.5,420.203,-396.1,-0.48,5031
2767.05,420.474,-394.8,-0.29,5032
2767.6,420.741,-396.5,-0.59,5033
2768.15,421.013,-397.3,-0.75,5034
2768.7,421.29,-400.9,-1.37,5035
2769.25,421.582,-401.1,-1.43,5036
2769.8,421.871,-402.7,-1.72,5037
